frame,timestamp,ID_2_x,ID_2_y,ID_2_dim1,ID_0_x,ID_0_y,ID_0_dim1,ID_4_x,ID_4_y,ID_4_dim1,ID_1_x,ID_1_y,ID_1_dim1
2227,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.7841374547996,100.44246513799096,0.0
2228,2026-02-11 14:42:34,484.0839345731682,376.05649928347884,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.7841374547996,100.44246513799096,0.0
2229,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2230,2026-02-11 14:42:34,484.0839345731682,376.05649928347884,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2231,2026-02-11 14:42:34,483.7056870563838,376.4809038994606,0.0,103.50089301352853,394.90025896684057,0.0,537.9527695279268,564.3149750023941,0.0,386.1866264581229,101.03642354042358,0.0
2232,2026-02-11 14:42:34,484.0839345731682,376.05649928347884,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2233,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2234,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1939100181887,100.44047263793902,0.0
2235,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2236,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2237,2026-02-11 14:42:35,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
