frame,timestamp,ID_8_x,ID_8_y,ID_6_x,ID_6_y
1301,2026-05-13 13:34:37,165.31191365007194,482.6638421368522,430.8103410327866,268.6129023302717
1302,2026-05-13 13:34:38,163.7109981144901,481.46797199832895,431.36513872453395,268.6188454990516
1303,2026-05-13 13:34:38,163.22092172015675,481.12787464817586,430.77726061306873,268.61254796248505
1304,2026-05-13 13:34:38,163.09543246160774,481.04078911457606,430.62672818755715,268.6109354114551
1305,2026-05-13 13:34:38,162.2702853419884,480.41298753384945,429.8117281803105,268.6021968235982
1306,2026-05-13 13:34:38,162.47751881579833,480.5761124902639,428.56458925958464,268.5888263118037
1307,2026-05-13 13:34:38,162.21645030044385,480.37978661649197,429.127878409196,268.59486607657595
1308,2026-05-13 13:34:38,162.44252603879437,480.5545318939815,429.5546297550399,268.5994421856142
1309,2026-05-13 13:34:38,161.86032106339994,481.2490321568692,430.5489263939986,268.6100964050242
1310,2026-05-13 13:34:38,162.22526398906152,482.2711512974728,430.4783109451616,268.6093418991056
1311,2026-05-13 13:34:38,162.11924881870368,481.8448131932018,430.868566247988,268.6135245280557
1312,2026-05-13 13:34:38,162.37934507566325,481.5067991688429,430.68607685025466,268.611570179076
1313,2026-05-13 13:34:38,163.29153279527486,481.85794424002137,431.2843670058882,268.6179796007744
1314,2026-05-13 13:34:38,164.62712601663569,482.6566902452717,430.95634734288984,268.61446597634324
1315,2026-05-13 13:34:38,164.09101710799538,482.00116332906674,431.0705366260282,268.6156894506886
1316,2026-05-13 13:34:38,163.66099446370285,481.6084267571551,430.8173575959808,268.61297737878743
1317,2026-05-13 13:34:38,164.1246048975006,481.92400217242425,429.9356372957859,268.6035241023642
1318,2026-05-13 13:34:38,165.16862288308243,482.69962790133354,428.6451301846437,268.5896890430016
1319,2026-05-13 13:34:38,165.1045633700973,482.6332829161403,429.1619069500334,268.59523058050706
1320,2026-05-13 13:34:38,165.8055958902703,483.16066038474895,429.57674830658425,268.59967911316943
1321,2026-05-13 13:34:38,165.51859582476942,482.9329540303603,429.12924125767825,268.5948802297125
1322,2026-05-13 13:34:38,166.07471698580716,483.355446608992,429.8325939333222,268.6024226361893
1323,2026-05-13 13:34:39,165.69352453686838,483.05956507611825,430.0126948457219,268.6043539493629
1324,2026-05-13 13:34:39,166.18842064867147,483.4377437887347,430.8466687029419,268.6132890514609
1325,2026-05-13 13:34:39,165.76743191773022,483.113058242951,430.5582070289461,268.610200363378
1326,2026-05-13 13:34:39,166.22264437567503,482.32129974756657,430.48434335787744,268.6094094720355
1327,2026-05-13 13:34:39,164.25966101337823,477.7852776362113,431.153240235843,268.6165751411981
1328,2026-05-13 13:34:39,163.69940175952593,473.1008021676389,430.6877335015968,268.61158873629194
1329,2026-05-13 13:34:39,162.5327155443266,464.85513322537156,430.56853556510043,268.61031191442964
1330,2026-05-13 13:34:39,162.46253478765018,455.4362366819407,431.20796517053793,268.6171617287543
1331,2026-05-13 13:34:39,161.62709414517573,445.25185828662086,430.90668614991216,268.61393435953016
